victim_amount,fact_date,fact_time,street_type,street_name,cross_name,comuna,victim,accused
1,2017-06-13,14:50:00,AVENIDA,"CASTILLO, RAMON S., PRES. AV.",CALLE 12 (NO OFICIAL),2,PEATON,CARGAS
1,2017-06-17,23:45:00,CALLE,FRAY JUSTO SANTAMARIA DE ORO,,14,MOTO,CARGAS
1,2017-06-19,16:26:00,CALLE,MEXICO,DEAN FUNES,3,MOTO,CARGAS
1,2017-06-22,10:15:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",ESCALADA AV.,9,PEATON,CARGAS
1,2017-06-25,22:40:00,AVENIDA,ENTRE RIOS AV.,BRASIL,4,PEATON,AUTO
1,2017-07-04,00:25:00,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",GUARDIA NACIONAL,9,MOTO,CARGAS
1,2017-07-05,12:49:00,AVENIDA,DEL LIBERTADOR AV.,RODRIGUEZ PE?A,2,PEATON,PASAJEROS
1,2017-07-07,14:15:00,AVENIDA,TACUARI,"GARCIA, MARTIN AV.",4,PEATON,PASAJEROS
1,2017-07-09,07:30:00,AVENIDA,RIVADAVIA AV.,MURGUIONDO,9,PEATON,MOTO
1,2017-07-10,10:45:00,CALLE,24 DE NOVIEMBRE,,3,PEATON,AUTO
1,2017-07-10,22:30:00,AVENIDA,PASEO COLON AV.,BRASIL AV.,1,PEATON,PASAJEROS
1,2017-07-13,12:05:00,CALLE,"LEGUIZAMON, MARTINIANO",,9,SD,AUTO
1,2017-07-15,05:15:00,GRAL PAZ,CHIVILCOY AV.,"PAZ, GRAL. AV.",11,PEATON,AUTO
1,2017-07-15,13:00:00,GRAL PAZ,SUPERI,"PAZ, GRAL. AV.",12,MOTO,SD
1,2017-07-24,22:16:01,AUTOPISTA,AUTOPISTA 25 DE MAYO,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,PEATON,AUTO
1,2017-07-25,16:48:40,AUTOPISTA,"LUGONES, LEOPOLDO AV.",PUENTE DISTRIBUIDOR SCALABRINI ORTIZ,13,PEATON,AUTO
1,2017-07-27,08:50:00,CALLE,"HUGO, VICTOR",,10,BICICLETA,CARGAS
1,2017-08-06,08:00:00,AVENIDA,CORDOBA AV.,"SALGUERO, JERONIMO",14,MOTO,AUTO
1,2017-08-07,19:50:00,AVENIDA,CABILDO AV.,NU?EZ,13,PEATON,PASAJEROS
1,2017-08-08,12:10:00,CALLE,"BONIFACIO, JOSE",,7,PEATON,AUTO
1,2017-08-17,19:45:00,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",,14,BICICLETA,AUTO
1,2017-08-21,07:45:00,CALLE,REPUBLICA BOLIVARIANA DE VENEZUELA,,3,MOTO,OBJETO FIJO
1,2017-08-23,10:00:00,AVENIDA,"LACROZE, FEDERICO AV.",ZAPATA,13,PEATON,MULTIPLE
1,2017-08-24,01:10:00,AVENIDA,"IRIARTE, GRAL. AV.",ZAVALETA,4,PEATON,CARGAS
1,2017-08-25,09:00:00,AVENIDA,9 DE JULIO AV.,ESTADOS UNIDOS,1,PEATON,CARGAS
1,2017-08-31,19:50:00,CALLE,FRAY JUSTO SANTAMARIA DE ORO,GUEMES,14,PEATON,PASAJEROS
1,2017-09-01,11:30:00,AVENIDA,DEL LIBERTADOR AV.,JARAMILLO,13,MOTO,CARGAS
2,2017-09-02,04:53:08,GRAL PAZ,"PAZ, GRAL. AV.",MACHAIN,12,OBJETO FIJO,AUTO
