victim_date,role,victim,age
2018-05-14,PEATON,PEATON,47
2018-05-15,PEATON,PEATON,57
2018-05-18,PEATON,PEATON,78
2018-05-20,CONDUCTOR,MOTO,43
2018-05-22,PEATON,PEATON,86
2018-05-29,CONDUCTOR,MOTO,21
2018-06-02,PEATON,PEATON,69
2018-06-03,CONDUCTOR,MOTO,33
2018-06-03,CONDUCTOR,MOTO,26
2018-06-08,CONDUCTOR,MOTO,54
2018-06-08,PEATON,PEATON,51
2018-06-10,CONDUCTOR,MOTO,51
2018-06-14,PEATON,PEATON,32
2018-06-16,PEATON,PEATON,28
2018-06-25,CONDUCTOR,AUTO,30
2018-06-26,CONDUCTOR,MOTO,35
2018-06-28,PEATON,PEATON,73
2018-06-29,PASAJERO_ACOMPAÑANTE,PASAJEROS,81
2018-07-01,CONDUCTOR,MOTO,21
2018-07-04,CICLISTA,BICICLETA,20
2018-07-07,CONDUCTOR,MOTO,33
2018-07-10,CONDUCTOR,MOTO,-1
2018-07-11,CONDUCTOR,MOTO,27
2018-07-11,PEATON,PEATON,67
2018-07-14,CONDUCTOR,AUTO,25
2018-07-15,PEATON,PEATON,23
2018-07-16,CONDUCTOR,AUTO,73
2018-07-16,CONDUCTOR,AUTO,58
2018-07-21,PEATON,PEATON,27
2018-07-23,PEATON,PEATON,-1
2018-07-25,PEATON,PEATON,26
2018-07-29,PEATON,PEATON,35
2018-08-01,CONDUCTOR,MOTO,17
2018-08-02,CONDUCTOR,MOTO,-1
2018-08-03,PEATON,PEATON,45
2018-08-03,PASAJERO_ACOMPAÑANTE,MOTO,22
2018-08-03,CONDUCTOR,MOTO,30
2018-08-10,PEATON,PEATON,40
2018-08-15,PEATON,PEATON,75
2018-08-17,CONDUCTOR,MOTO,-1
2018-08-17,PEATON,PEATON,80
2018-08-18,CONDUCTOR,MOTO,27
2018-08-19,PASAJERO_ACOMPAÑANTE,AUTO,23
2018-08-20,CONDUCTOR,MOTO,23
2018-08-20,PEATON,PEATON,24
2018-08-23,CONDUCTOR,MOTO,32
2018-08-26,PASAJERO_ACOMPAÑANTE,AUTO,49
2018-08-31,PEATON,PEATON,39
2018-09-02,CONDUCTOR,AUTO,35
2018-09-09,CONDUCTOR,AUTO,55
2018-09-09,PASAJERO_ACOMPAÑANTE,AUTO,54
2018-09-12,PEATON,PEATON,18
2018-09-21,CONDUCTOR,AUTO,-1
2018-09-21,CONDUCTOR,MOTO,20
2018-09-27,PEATON,PEATON,1
2018-10-01,CONDUCTOR,MOTO,22
2018-10-03,PEATON,PEATON,56
2018-10-04,CONDUCTOR,MOTO,27
2018-10-06,PEATON,PEATON,62
2018-10-09,CONDUCTOR,MOTO,37
2018-10-10,PEATON,PEATON,34
2018-10-13,PEATON,PEATON,60
2018-10-19,CONDUCTOR,MOTO,28
2018-10-24,CONDUCTOR,MOTO,28
2018-10-25,CONDUCTOR,MOTO,20
2018-10-30,CONDUCTOR,MOTO,23
2018-10-31,PEATON,PEATON,42
2018-11-01,PEATON,PEATON,48
2018-11-04,CONDUCTOR,MOTO,30
2018-11-05,PEATON,PEATON,80
2018-11-05,PEATON,PEATON,32
2018-11-09,PEATON,PEATON,51
2018-11-09,PEATON,PEATON,72
2018-11-12,CONDUCTOR,AUTO,33
2018-11-12,CONDUCTOR,AUTO,25
2018-11-15,CONDUCTOR,CARGAS,44
2018-11-16,PEATON,PEATON,29
2018-11-18,CONDUCTOR,MOTO,27
2018-11-19,CONDUCTOR,MOTO,29
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,49
2018-11-25,PASAJERO_ACOMPAÑANTE,AUTO,39
2018-11-28,CONDUCTOR,MOTO,37
2018-12-03,CONDUCTOR,MOTO,-1
2018-12-07,CONDUCTOR,MOTO,29
2018-12-12,PEATON,PEATON,70
2018-12-12,PEATON,PEATON,60
2018-12-12,PEATON,PEATON,56
2018-12-18,PEATON,PEATON,80
2018-12-18,PEATON,PEATON,70
2018-12-18,PASAJERO_ACOMPAÑANTE,MOTO,29
2018-12-21,PASAJERO_ACOMPAÑANTE,PASAJEROS,79
2018-12-22,PASAJERO_ACOMPAÑANTE,MOTO,28
2018-12-22,CONDUCTOR,AUTO,78
2018-12-22,PEATON,PEATON,75
